algorithm,episode,return,steps,success,epsilon,wall_hits,penalty_entries,locked_door_attempts,gate_blocks,key_collected,door_crossings,seed,epsilon_schedule,reward_mode
q_learning,104,-12.0,152,1,0.7443229200535514,38,3,0,2,1,2,5,exponential,sparse
q_learning,105,-391.0,441,0,0.7422126105753305,93,8,0,0,1,0,5,exponential,sparse
q_learning,106,-361.5,441,0,0.7401082842611019,106,1,0,0,1,4,5,exponential,sparse
q_learning,107,-233.0,336,1,0.7380099241473576,97,9,0,1,1,4,5,exponential,sparse
q_learning,108,-333.0,441,0,0.7359175133186849,87,1,0,0,1,0,5,exponential,sparse
q_learning,109,-390.0,441,0,0.7338310349076299,97,7,0,0,1,0,5,exponential,sparse
q_learning,110,-414.5,441,0,0.731750472094561,76,15,0,0,1,3,5,exponential,sparse
q_learning,111,-415.0,441,0,0.7296758081075342,109,8,0,0,1,0,5,exponential,sparse
q_learning,112,-378.5,441,0,0.7276070262221569,80,9,0,0,1,1,5,exponential,sparse
q_learning,113,-297.5,441,0,0.7255441097614542,68,0,0,0,1,0,5,exponential,sparse
q_learning,114,-338.5,441,0,0.7234870420957336,85,2,0,0,1,0,5,exponential,sparse
q_learning,115,-333.0,441,0,0.721435806642451,86,1,0,0,1,2,5,exponential,sparse
q_learning,116,-412.5,441,0,0.7193903868660776,97,10,0,0,1,0,5,exponential,sparse
q_learning,117,-289.5,441,0,0.7173507662779661,58,1,0,0,1,0,5,exponential,sparse
q_learning,118,-416.5,441,0,0.7153169284362179,96,11,0,0,1,1,5,exponential,sparse
q_learning,119,-355.0,441,0,0.7132888569455506,83,5,0,0,1,0,5,exponential,sparse
q_learning,120,-384.0,441,0,0.7112665354571658,79,10,0,0,1,0,5,exponential,sparse
q_learning,121,-329.0,441,0,0.7092499476686175,89,0,0,0,1,0,5,exponential,sparse
q_learning,122,65.0,81,1,0.7072390773236803,17,2,0,0,1,2,5,exponential,sparse
q_learning,123,-361.0,441,0,0.7052339082122185,86,5,0,0,1,2,5,exponential,sparse
q_learning,124,-406.0,441,0,0.7032344241700558,115,5,0,2,1,1,5,exponential,sparse
q_learning,125,-354.0,441,0,0.7012406090788443,101,1,0,0,1,0,5,exponential,sparse
q_learning,126,-344.5,441,0,0.6992524468659355,90,2,0,0,1,7,5,exponential,sparse
q_learning,127,-141.0,268,1,0.6972699215042495,64,8,0,0,1,2,5,exponential,sparse
q_learning,128,-304.0,441,0,0.6952930170121469,63,2,0,0,1,1,5,exponential,sparse
q_learning,129,-426.5,441,0,0.6933217174532995,112,9,0,0,1,1,5,exponential,sparse
q_learning,130,-172.0,343,1,0.6913560069365619,83,3,0,0,1,2,5,exponential,sparse
q_learning,131,-436.5,441,0,0.6893958696158433,86,16,0,0,1,4,5,exponential,sparse
q_learning,132,-366.5,441,0,0.6874412896899799,72,9,0,0,1,0,5,exponential,sparse
q_learning,133,-324.5,441,0,0.6854922514026075,86,0,0,0,1,2,5,exponential,sparse
q_learning,134,-413.0,441,0,0.6835487390420344,88,12,0,1,1,12,5,exponential,sparse
q_learning,135,-353.5,441,0,0.6816107369411148,96,2,0,0,1,0,5,exponential,sparse
q_learning,136,-219.0,400,1,0.6796782294771226,85,5,0,1,1,1,5,exponential,sparse
q_learning,137,-397.5,441,0,0.6777512010716252,116,4,0,0,1,1,5,exponential,sparse
q_learning,138,-110.0,200,1,0.6758296361903581,64,8,0,2,1,1,5,exponential,sparse
q_learning,139,-402.5,441,0,0.6739135193430998,108,6,0,1,1,9,5,exponential,sparse
q_learning,140,22.0,119,1,0.6720028350835466,32,2,0,1,1,2,5,exponential,sparse
q_learning,141,-112.0,259,1,0.6700975680091885,71,3,0,0,1,2,5,exponential,sparse
q_learning,142,-156.0,314,1,0.6681977027611844,68,6,0,0,1,4,5,exponential,sparse
q_learning,143,-388.5,441,0,0.6663032240242392,109,4,0,0,1,9,5,exponential,sparse
q_learning,144,-106.0,257,1,0.6644141165264797,63,4,0,0,1,1,5,exponential,sparse
q_learning,145,-402.5,441,0,0.6625303650393312,96,9,0,0,1,0,5,exponential,sparse
q_learning,146,-409.0,441,0,0.6606519543773954,77,14,0,0,1,0,5,exponential,sparse
q_learning,147,-311.0,431,1,0.6587788693983282,109,11,0,0,1,4,5,exponential,sparse
q_learning,148,-331.5,441,0,0.6569110950027165,85,1,0,0,1,2,5,exponential,sparse
q_learning,149,-460.0,441,0,0.6550486161339576,124,11,0,0,1,3,5,exponential,sparse
q_learning,150,-405.0,441,0,0.6531914177781369,107,7,0,0,1,8,5,exponential,sparse
q_learning,151,-513.0,441,0,0.6513394849639081,109,22,0,0,1,2,5,exponential,sparse
q_learning,152,-342.0,441,0,0.6494928027623713,93,1,0,0,1,0,5,exponential,sparse
q_learning,153,-335.0,441,0,0.6476513562869529,78,3,0,0,1,3,5,exponential,sparse
q_learning,154,-386.5,441,0,0.6458151306932863,118,2,0,0,1,0,5,exponential,sparse
q_learning,155,-369.5,441,0,0.6439841111790915,87,6,0,0,1,0,5,exponential,sparse
q_learning,156,-386.5,441,0,0.642158282984056,118,2,0,0,1,0,5,exponential,sparse
q_learning,157,-329.0,441,0,0.640337631389716,75,3,0,0,1,1,5,exponential,sparse
