run_id,target,scenario,mode,beta,seed,transferred_state_count,evaluation_base_seed,initial_success_rate,initial_mean_return,episodes_to_success_threshold,samples_to_success_threshold,final_success_rate,final_mean_return,final_mean_steps,runtime_seconds,total_samples,memory_bytes,policy_agreement_percent
transfer_different_selective_seed_5,different,selective,selective,,5,2,20005,0.0,-1675.3193749999941,112,18285,1.0,81.12275,22.525,3.868164440000328,61733,20480,67.8082191780822
transfer_different_selective_seed_17,different,selective,selective,,17,2,20005,0.0,-1675.3193749999941,117,18779,1.0,81.6288125,22.51,3.759831714000029,62294,20480,67.8082191780822
transfer_different_selective_seed_29,different,selective,selective,,29,2,20005,0.0,-1675.3193749999941,125,20259,1.0,84.484125,25.25,3.7519328459984536,61230,20480,71.23287671232876
transfer_different_selective_seed_41,different,selective,selective,,41,2,20005,0.0,-1675.3193749999941,112,17728,1.0,86.6135625,24.355,3.8335127780010225,62179,20480,67.8082191780822
transfer_different_selective_seed_53,different,selective,selective,,53,2,20005,0.0,-1675.3193749999941,119,17866,1.0,85.08793750000001,24.05,3.789727440000206,62472,20480,73.28767123287672
transfer_different_selective_seed_65,different,selective,selective,,65,2,20005,0.0,-1675.3193749999941,114,17864,1.0,84.6420625,25.275,6.363584183000057,60258,20480,67.12328767123287
transfer_different_selective_seed_77,different,selective,selective,,77,2,20005,0.0,-1675.3193749999941,109,17085,1.0,82.5010625,22.195,5.325447348001035,61167,20480,67.8082191780822
transfer_different_selective_seed_89,different,selective,selective,,89,2,20005,0.0,-1675.3193749999941,119,18792,1.0,81.6288125,22.51,3.7943316159999085,60941,20480,72.6027397260274
transfer_different_selective_seed_101,different,selective,selective,,101,2,20005,0.0,-1675.3193749999941,119,20792,1.0,86.57987499999999,24.37,3.928719756000646,62641,20480,71.91780821917808
transfer_different_selective_seed_113,different,selective,selective,,113,2,20005,0.0,-1675.3193749999941,109,14951,1.0,82.8031875,22.47,3.646175606001634,58101,20480,68.4931506849315
