algorithm,lambda,episode,return,steps,success,epsilon,wall_hits,penalty_entries,gate_blocks,seed,lambda_label
sarsa_lambda,0.0,88,-119.72999999999998,257,1,0.7789156127821365,81,7,0,5,lambda=0.0
sarsa_lambda,0.0,89,-328.4899999999994,441,0,0.7767072258628271,77,11,1,5,lambda=0.0
sarsa_lambda,0.0,90,33.629999999999924,123,1,0.7745051001773476,29,3,0,5,lambda=0.0
sarsa_lambda,0.0,91,-378.0900000000005,441,0,0.7723092179738047,119,13,0,5,lambda=0.0
sarsa_lambda,0.0,92,-316.4099999999998,441,0,0.7701195615506352,107,7,0,5,lambda=0.0
sarsa_lambda,0.0,93,-188.86999999999932,347,1,0.7679361132564638,125,2,0,5,lambda=0.0
sarsa_lambda,0.0,94,-280.27000000000004,441,0,0.7657588554899601,99,2,0,5,lambda=0.0
sarsa_lambda,0.0,95,-70.21999999999981,229,1,0.7635877706996976,62,6,1,5,lambda=0.0
sarsa_lambda,0.0,96,-249.60000000000042,392,1,0.7614228413840113,158,1,0,5,lambda=0.0
sarsa_lambda,0.0,97,-269.0599999999993,423,1,0.7592640500908573,118,10,1,5,lambda=0.0
sarsa_lambda,0.0,98,-290.5800000000006,441,0,0.7571113794176717,106,3,0,5,lambda=0.0
sarsa_lambda,0.0,99,-373.01000000000005,441,0,0.7549648120112306,95,13,0,5,lambda=0.0
sarsa_lambda,0.0,100,-200.59999999999974,391,1,0.7528243305675099,101,8,0,5,lambda=0.0
sarsa_lambda,0.0,101,-169.40999999999923,368,1,0.7506899178315463,79,8,1,5,lambda=0.0
sarsa_lambda,0.0,102,-300.2399999999997,441,0,0.7485615565972975,84,5,5,5,lambda=0.0
sarsa_lambda,0.0,103,-158.31000000000006,376,1,0.7464392297075043,81,8,1,5,lambda=0.0
sarsa_lambda,0.0,104,24.730000000000018,145,1,0.7443229200535514,33,3,2,5,lambda=0.0
sarsa_lambda,0.0,105,-355.16,441,0,0.7422126105753305,107,9,0,5,lambda=0.0
sarsa_lambda,0.0,106,-303.1600000000006,441,0,0.7401082842611019,111,4,0,5,lambda=0.0
sarsa_lambda,0.0,107,-122.74999999999984,282,1,0.7380099241473576,72,9,0,5,lambda=0.0
sarsa_lambda,0.0,108,-116.92999999999977,311,1,0.7359175133186849,71,7,0,5,lambda=0.0
sarsa_lambda,0.0,109,-329.78999999999974,441,0,0.7338310349076299,107,10,0,5,lambda=0.0
sarsa_lambda,0.0,110,10.360000000000014,126,1,0.731750472094561,32,6,0,5,lambda=0.0
sarsa_lambda,0.0,111,-108.67999999999974,275,1,0.7296758081075342,75,6,0,5,lambda=0.0
sarsa_lambda,0.0,112,-265.84000000000043,441,0,0.7276070262221569,90,3,0,5,lambda=0.0
sarsa_lambda,0.0,113,-73.65999999999995,256,1,0.7255441097614542,58,8,0,5,lambda=0.0
sarsa_lambda,0.0,114,-116.12999999999992,234,1,0.7234870420957336,75,8,3,5,lambda=0.0
sarsa_lambda,0.0,115,-339.91999999999985,441,0,0.721435806642451,137,3,0,5,lambda=0.0
sarsa_lambda,0.0,116,-308.3300000000001,441,0,0.7193903868660776,102,7,0,5,lambda=0.0
sarsa_lambda,0.0,117,-35.66999999999983,221,1,0.7173507662779661,59,3,0,5,lambda=0.0
sarsa_lambda,0.0,118,-412.75,441,0,0.7153169284362179,124,16,0,5,lambda=0.0
sarsa_lambda,0.0,119,-141.23999999999972,342,1,0.7132888569455506,81,4,3,5,lambda=0.0
sarsa_lambda,0.0,120,-70.14999999999982,270,1,0.7112665354571658,64,5,0,5,lambda=0.0
sarsa_lambda,0.0,121,-330.79000000000053,441,0,0.7092499476686175,100,9,3,5,lambda=0.0
sarsa_lambda,0.0,122,-182.89999999999992,386,1,0.7072390773236803,88,9,2,5,lambda=0.0
sarsa_lambda,0.0,123,42.89,128,1,0.7052339082122185,31,1,3,5,lambda=0.0
sarsa_lambda,0.0,124,-297.51000000000005,441,0,0.7032344241700558,93,8,0,5,lambda=0.0
sarsa_lambda,0.0,125,-300.3800000000002,441,0,0.7012406090788443,118,2,0,5,lambda=0.0
sarsa_lambda,0.0,126,25.409999999999982,130,1,0.6992524468659355,30,4,0,5,lambda=0.0
sarsa_lambda,0.0,127,-384.6100000000007,441,0,0.6972699215042495,133,7,0,5,lambda=0.0
sarsa_lambda,0.0,128,-258.13000000000034,441,0,0.6952930170121469,76,5,0,5,lambda=0.0
sarsa_lambda,0.0,129,22.31999999999998,118,1,0.6933217174532995,28,5,2,5,lambda=0.0
sarsa_lambda,0.0,130,-325.6300000000003,441,0,0.6913560069365619,106,8,0,5,lambda=0.0
sarsa_lambda,0.0,131,-314.2099999999997,441,0,0.6893958696158433,91,6,0,5,lambda=0.0
sarsa_lambda,0.0,132,-265.07000000000016,441,0,0.6874412896899799,104,0,0,5,lambda=0.0
sarsa_lambda,0.0,133,-345.0200000000005,441,0,0.6854922514026075,118,5,1,5,lambda=0.0
sarsa_lambda,0.0,134,-136.19999999999965,307,1,0.6835487390420344,83,7,0,5,lambda=0.0
sarsa_lambda,0.0,135,-407.1600000000009,441,0,0.6816107369411148,96,22,0,5,lambda=0.0
sarsa_lambda,0.0,136,-83.96999999999973,343,1,0.6796782294771226,71,3,0,5,lambda=0.0
sarsa_lambda,0.0,137,-153.98000000000013,427,1,0.6777512010716252,79,5,0,5,lambda=0.0
sarsa_lambda,0.0,138,-325.31999999999937,441,0,0.6758296361903581,81,7,2,5,lambda=0.0
sarsa_lambda,0.0,139,-346.66000000000054,441,0,0.6739135193430998,97,13,0,5,lambda=0.0
sarsa_lambda,0.0,140,-48.1699999999998,221,1,0.6720028350835466,55,4,0,5,lambda=0.0
sarsa_lambda,0.0,141,-129.7499999999999,384,1,0.6700975680091885,80,4,0,5,lambda=0.0
sarsa_lambda,0.0,142,-307.26999999999964,441,0,0.6681977027611844,71,13,0,5,lambda=0.0
sarsa_lambda,0.0,143,-36.269999999999854,297,1,0.6663032240242392,47,2,0,5,lambda=0.0
sarsa_lambda,0.0,144,-225.55000000000015,441,0,0.6644141165264797,73,1,0,5,lambda=0.0
sarsa_lambda,0.0,145,-344.40999999999997,441,0,0.6625303650393312,117,6,0,5,lambda=0.0
sarsa_lambda,0.0,146,-331.0499999999993,441,0,0.6606519543773954,84,7,2,5,lambda=0.0
sarsa_lambda,0.0,147,-244.17999999999986,441,0,0.6587788693983282,85,1,0,5,lambda=0.0
sarsa_lambda,0.0,148,-290.5200000000003,441,0,0.6569110950027165,99,1,4,5,lambda=0.0
sarsa_lambda,0.0,149,-29.489999999999995,216,1,0.6550486161339576,58,1,0,5,lambda=0.0
sarsa_lambda,0.0,150,-105.67999999999982,304,1,0.6531914177781369,79,4,1,5,lambda=0.0
sarsa_lambda,0.0,151,-143.88999999999993,325,1,0.6513394849639081,88,5,3,5,lambda=0.0
sarsa_lambda,0.0,152,-170.15000000000032,435,1,0.6494928027623713,85,7,0,5,lambda=0.0
sarsa_lambda,0.0,153,55.59999999999998,95,1,0.6476513562869529,29,2,0,5,lambda=0.0
sarsa_lambda,0.0,154,-281.8599999999994,441,0,0.6458151306932863,76,1,5,5,lambda=0.0
sarsa_lambda,0.0,155,-243.9000000000003,441,0,0.6439841111790915,88,1,0,5,lambda=0.0
sarsa_lambda,0.0,156,-347.289999999999,441,0,0.642158282984056,121,8,0,5,lambda=0.0
sarsa_lambda,0.0,157,-92.20999999999997,282,1,0.640337631389716,64,6,0,5,lambda=0.0
sarsa_lambda,0.0,158,-68.71999999999984,262,1,0.6385221417193374,56,7,0,5,lambda=0.0
sarsa_lambda,0.0,159,-5.749999999999915,164,1,0.6367117993377978,46,4,0,5,lambda=0.0
sarsa_lambda,0.0,160,-387.31000000000057,441,0,0.6349065896514684,73,25,0,5,lambda=0.0
sarsa_lambda,0.0,161,-320.54999999999967,441,0,0.6331064981080963,83,10,0,5,lambda=0.0
sarsa_lambda,0.0,162,-246.25000000000017,441,0,0.6313115101966873,87,0,0,5,lambda=0.0
sarsa_lambda,0.0,163,-203.39000000000004,441,0,0.6295216114473888,54,2,0,5,lambda=0.0
sarsa_lambda,0.0,164,-328.89999999999947,441,0,0.6277367874313733,99,5,1,5,lambda=0.0
sarsa_lambda,0.0,165,29.280000000000044,126,1,0.625957023760722,28,4,0,5,lambda=0.0
sarsa_lambda,0.0,166,39.92,122,1,0.6241823060883088,26,3,0,5,lambda=0.0
sarsa_lambda,0.0,167,-334.7100000000002,441,0,0.6224126201076847,89,14,0,5,lambda=0.0
sarsa_lambda,0.0,168,-343.28000000000065,441,0,0.6206479515529625,121,4,1,5,lambda=0.0
sarsa_lambda,0.0,169,-7.020000000000039,167,1,0.6188882861987015,51,2,0,5,lambda=0.0
sarsa_lambda,0.0,170,-309.73000000000013,441,0,0.6171336098597933,92,9,0,5,lambda=0.0
sarsa_lambda,0.0,171,-25.299999999999827,244,1,0.6153839083913472,51,2,1,5,lambda=0.0
